INFO:root:Blob add op Blob of color:(0, 0, 255), size: 6, location at: (547, 49)) + Blob of color:(0, 255, 0), size: 5, location at: (543, 57))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 4, location at: (526, 58)) + Blob of color:(0, 0, 255), size: 11, location at: (537, 57))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 11, location at: (537, 57)) + Blob of color:(0, 0, 255), size: 4, location at: (526, 58))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 4, location at: (520, 59)) + Blob of color:(0, 0, 255), size: 11, location at: (533, 55))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 11, location at: (533, 55)) + Blob of color:(0, 0, 255), size: 4, location at: (520, 59))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 4, location at: (523, 64)) + Blob of color:(0, 0, 255), size: 11, location at: (533, 60))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 11, location at: (533, 60)) + Blob of color:(0, 0, 255), size: 4, location at: (523, 64))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (360, 466)) + Blob of color:(0, 0, 255), size: 4, location at: (354, 460))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 4, location at: (354, 460)) + Blob of color:(0, 0, 255), size: 5, location at: (360, 466))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 4, location at: (516, 77)) + Blob of color:(0, 0, 255), size: 11, location at: (527, 76))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 11, location at: (527, 76)) + Blob of color:(0, 0, 255), size: 4, location at: (516, 77))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 4, location at: (518, 81)) + Blob of color:(0, 0, 255), size: 11, location at: (523, 75))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 11, location at: (523, 75)) + Blob of color:(0, 0, 255), size: 4, location at: (518, 81))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 4, location at: (514, 80)) + Blob of color:(0, 0, 255), size: 11, location at: (523, 76))
