INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (110, 34)) + Blob of color:(0, 0, 255), size: 5, location at: (120, 37))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (120, 37)) + Blob of color:(0, 0, 255), size: 7, location at: (110, 34))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (108, 40)) + Blob of color:(0, 0, 255), size: 5, location at: (116, 41))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (116, 41)) + Blob of color:(0, 0, 255), size: 7, location at: (108, 40))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (114, 40)) + Blob of color:(0, 0, 255), size: 5, location at: (122, 39))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (122, 39)) + Blob of color:(0, 0, 255), size: 7, location at: (114, 40))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (118, 40)) + Blob of color:(0, 0, 255), size: 5, location at: (116, 35))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (116, 35)) + Blob of color:(0, 0, 255), size: 7, location at: (118, 40))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (121, 37)) + Blob of color:(0, 0, 255), size: 5, location at: (123, 32))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (123, 32)) + Blob of color:(0, 0, 255), size: 7, location at: (121, 37))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (122, 33)) + Blob of color:(0, 0, 255), size: 5, location at: (118, 25))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (118, 25)) + Blob of color:(0, 0, 255), size: 7, location at: (122, 33))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (123, 28)) + Blob of color:(0, 0, 255), size: 5, location at: (118, 24))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (118, 24)) + Blob of color:(0, 0, 255), size: 7, location at: (123, 28))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (120, 27)) + Blob of color:(0, 0, 255), size: 5, location at: (118, 25))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (118, 25)) + Blob of color:(0, 0, 255), size: 7, location at: (120, 27))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (119, 30)) + Blob of color:(0, 0, 255), size: 5, location at: (123, 24))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (123, 24)) + Blob of color:(0, 0, 255), size: 7, location at: (119, 30))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (120, 24)) + Blob of color:(0, 0, 255), size: 5, location at: (127, 23))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (127, 23)) + Blob of color:(0, 0, 255), size: 7, location at: (120, 24))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (123, 29)) + Blob of color:(0, 0, 255), size: 5, location at: (122, 25))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (122, 25)) + Blob of color:(0, 0, 255), size: 7, location at: (123, 29))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (118, 33)) + Blob of color:(0, 0, 255), size: 5, location at: (124, 30))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (124, 30)) + Blob of color:(0, 0, 255), size: 7, location at: (118, 33))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (124, 34)) + Blob of color:(0, 0, 255), size: 5, location at: (118, 25))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (118, 25)) + Blob of color:(0, 0, 255), size: 7, location at: (124, 34))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (123, 31)) + Blob of color:(0, 0, 255), size: 5, location at: (118, 22))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (118, 22)) + Blob of color:(0, 0, 255), size: 7, location at: (123, 31))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (128, 26)) + Blob of color:(0, 0, 255), size: 5, location at: (121, 27))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (121, 27)) + Blob of color:(0, 0, 255), size: 7, location at: (128, 26))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (123, 15)) + Blob of color:(0, 0, 255), size: 5, location at: (115, 19))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (115, 19)) + Blob of color:(0, 0, 255), size: 7, location at: (123, 15))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (125, 11)) + Blob of color:(0, 0, 255), size: 5, location at: (119, 12))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (119, 12)) + Blob of color:(0, 0, 255), size: 7, location at: (125, 11))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (124, 8)) + Blob of color:(0, 0, 255), size: 5, location at: (116, 11))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (116, 11)) + Blob of color:(0, 0, 255), size: 7, location at: (124, 8))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (122, 1)) + Blob of color:(0, 0, 255), size: 5, location at: (117, 7))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (117, 7)) + Blob of color:(0, 0, 255), size: 7, location at: (122, 1))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (115, 8)) + Blob of color:(0, 0, 255), size: 5, location at: (114, 13))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (114, 13)) + Blob of color:(0, 0, 255), size: 7, location at: (115, 8))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (111, 5)) + Blob of color:(0, 0, 255), size: 5, location at: (116, 13))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (116, 13)) + Blob of color:(0, 0, 255), size: 7, location at: (111, 5))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (117, 2)) + Blob of color:(0, 0, 255), size: 5, location at: (118, 10))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (118, 10)) + Blob of color:(0, 0, 255), size: 7, location at: (117, 2))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (105, 11)) + Blob of color:(0, 0, 255), size: 5, location at: (102, 21))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (102, 21)) + Blob of color:(0, 0, 255), size: 7, location at: (105, 11))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 6, location at: (439, 156)) + Blob of color:(0, 255, 0), size: 6, location at: (439, 145))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (77, 12)) + Blob of color:(0, 0, 255), size: 5, location at: (85, 19))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (85, 19)) + Blob of color:(0, 0, 255), size: 7, location at: (77, 12))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (82, 17)) + Blob of color:(0, 0, 255), size: 5, location at: (80, 19))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (80, 19)) + Blob of color:(0, 0, 255), size: 7, location at: (82, 17))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (74, 20)) + Blob of color:(0, 0, 255), size: 5, location at: (83, 23))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (83, 23)) + Blob of color:(0, 0, 255), size: 7, location at: (74, 20))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (69, 24)) + Blob of color:(0, 0, 255), size: 5, location at: (78, 26))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (78, 26)) + Blob of color:(0, 0, 255), size: 7, location at: (69, 24))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (74, 23)) + Blob of color:(0, 0, 255), size: 5, location at: (72, 24))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (72, 24)) + Blob of color:(0, 0, 255), size: 7, location at: (74, 23))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (72, 22)) + Blob of color:(0, 0, 255), size: 5, location at: (72, 23))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (72, 23)) + Blob of color:(0, 0, 255), size: 7, location at: (72, 22))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (65, 18)) + Blob of color:(0, 0, 255), size: 5, location at: (73, 14))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (73, 14)) + Blob of color:(0, 0, 255), size: 7, location at: (65, 18))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (673, 104)) + Blob of color:(255, 0, 0), size: 4, location at: (663, 106))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (70, 19)) + Blob of color:(0, 0, 255), size: 5, location at: (79, 14))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (79, 14)) + Blob of color:(0, 0, 255), size: 7, location at: (70, 19))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 3, location at: (664, 107)) + Blob of color:(255, 0, 0), size: 1, location at: (662, 106))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (719, 475)) + Blob of color:(0, 255, 0), size: 5, location at: (717, 465))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (781, 165)) + Blob of color:(0, 255, 0), size: 5, location at: (779, 176))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 12, location at: (708, 411)) + Blob of color:(0, 255, 0), size: 6, location at: (704, 394))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 18, location at: (704, 393)) + Blob of color:(255, 0, 0), size: 5, location at: (701, 371))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (114, 578)) + Blob of color:(255, 0, 0), size: 4, location at: (107, 581))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (69, 23)) + Blob of color:(0, 0, 255), size: 5, location at: (78, 27))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (78, 27)) + Blob of color:(0, 0, 255), size: 7, location at: (69, 23))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (65, 27)) + Blob of color:(0, 0, 255), size: 5, location at: (71, 33))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (71, 33)) + Blob of color:(0, 0, 255), size: 7, location at: (65, 27))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 13, location at: (748, 382)) + Blob of color:(0, 255, 0), size: 7, location at: (764, 390))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (697, 491)) + Blob of color:(255, 0, 0), size: 6, location at: (703, 502))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (47, 56)) + Blob of color:(0, 255, 0), size: 6, location at: (40, 59))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (58, 62)) + Blob of color:(0, 0, 255), size: 11, location at: (46, 66))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 11, location at: (46, 66)) + Blob of color:(0, 0, 255), size: 7, location at: (58, 62))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (57, 68)) + Blob of color:(0, 0, 255), size: 11, location at: (41, 73))
